Common code,Original name,English suggestion,Engl. abbr.,Engl. Aliases,German suggestion,German abbr.,German aliases,Dutch name,Dutch abbr.,Dutch aliases,Description
X5H,"Bag, woven plastic",Woven plastic bag,,,Gewebte Plastiktüte,,,gevlochten plastic zak,,,
XXA,"Bag, woven plastic, without inner coat/liner ",Woven plastic bag without inner coat/liner,,,Gewebte Plastiktüte ohne Innenmantel/Liner,,,gevlochten plastic zak zonder liner,,,
XXB,"Bag, woven plastic, sift proof ","Woven plastic bag, sift proof",,,"Gewebte Plastiktüte, siebfest",,,"gevlochten plastic zak, stofdicht",,,
XXC,"Bag, woven plastic, water resistant","Woven plastic bag, water resistant",,,"Gewebte Plastiktüte, wasserabweisend",,,"gevlochten plastic zak, waterafstotend",,,
XWP,"Intermediate bulk container, woven plastic, coated ","Woven plastic intermediate bulk container, coated",,,"Gewebter Plastik-Intermediate-Bulk-Behälter, beschichtet",,,"gevlochten plastic Intermediate-Bulk-Container, gecoat",,,
XWN,"Intermediate bulk container, woven plastic, without coat/liner ",Woven plastic intermediate bulk container without coat/liner,,,Gewebter Plastik-Intermediate-Bulk-Container ohne Mantel/Liner,,,gevlochten plastic Intermediate-Bulk-Container zonder liner,,,
XWR,"Intermediate bulk container, woven plastic, coated and liner ","Woven plastic intermediate bulk container, coated and liner",,,"Gewebter Plastik-Zwischenschüttgutbehälter, beschichtet und Auskleidung",,,"gevlochten plastic Intermediate-Bulk-Container, gecoat met liner",,,
XJR,Jar,Jar,,,Glas,Gl.,gl,glazen pot,,,
XGR,"Receptacle, glass ",Glass receptacle,,,Glasgefäß,,,glazen container,,,Containment vessel made of glass for retaining substances or articles.
XYV,"Composite packaging, glass receptacle in wickerwork hamper",Glass receptacle in wickerwork hamper composite packaging,,,Glasgefäß aus Korbgeflecht behindert Verbundverpackungen,,,"glazen container in rieten vlechtwerk, composietverpakking",,,
XYQ,"Composite packaging, glass receptacle in aluminium drum",Glass receptacle in aluminium drum composite packaging,,,Glasgefäß in Aluminium-Fassverbundverpackung,,,"glazen container in aluminium trommel, composietverpakking",,,
XYR,"Composite packaging, glass receptacle in aluminium crate",Glass receptacle in aluminium crate composite packaging,,,Glasgefäß in Aluminiumkistenverbundverpackung,,,"glazen container in aluminium krat, composietverpakking",,,
XYY,"Composite packaging, glass receptacle in expandable plastic pack",Glass receptacle in expandable plastic pack composite packaging,,,Glasgefäß in expandierbarer Plastikverpackung,,,"glazen container in schuimplastic pakking, composietverpakking",,,
XYW,"Composite packaging, glass receptacle in fibre drum",Glass receptacle in fibre drum composite packaging,,,Glasgefäß in Fasertrommel-Verbundverpackungen,,,"glazen container in trommel van vezelmateriaal, composietverpakking",,,
XYX,"Composite packaging, glass receptacle in fibreboard box ",Glass receptacle in fibreboard box composite packaging,,,Glasgefäß in Faserverbundverpackung,,,"glazen container in spaanplaat box, composietverpakking",,,
XYS,"Composite packaging, glass receptacle in wooden box",Glass receptacle in wooden box composite packaging,,,Glasgefäß in Holzkisten-Verbundverpackung,,,"glazen container in houten box, composietverpakking",,,
XYT,"Composite packaging, glass receptacle in plywood drum",Glass receptacle in plywood drum composite packaging,,,Glasgefäß in Sperrholztrommel-Verbundverpackung,,,"glazen container in multiplex trommel, composietverpakking",,,
XYN,"Composite packaging, glass receptacle in steel drum",Glass receptacle in steel drum composite packaging,,,Glasgefäß in Stahlfass-Verbundverpackung,,,"glazen container in stalen trommel, composietverpakking",,,
